id,type,color
1671,cherry,purple
1672,cherry,red
1673,cherry,purple
1674,apple,red
1675,apple,yellow
1676,banana,yellow
1677,cherry,red
1678,cherry,purple
1679,cherry,purple
1680,apple,green
1681,banana,green
1682,apple,green
1683,banana,green
1684,apple,green
1685,banana,yellow
1686,banana,green
1687,cherry,red
1688,apple,green
1689,apple,green
1690,cherry,red
1691,cherry,red
1692,apple,yellow
1693,banana,green
1694,apple,green
1695,banana,yellow
1696,apple,red
1697,cherry,purple
1698,banana,green
1699,cherry,red
1700,apple,yellow
1701,banana,yellow
1702,cherry,red
1703,apple,red
1704,cherry,red
1705,apple,red
1706,cherry,red
1707,apple,green
1708,banana,yellow
1709,banana,yellow
1710,apple,yellow
1711,banana,green
1712,banana,green
1713,apple,green
1714,banana,yellow
1715,apple,green
1716,apple,yellow
1717,cherry,red
1718,cherry,red
1719,banana,green
1720,banana,yellow
1721,cherry,red
1722,banana,yellow
1723,banana,yellow
1724,apple,yellow
1725,cherry,purple
1726,banana,green
1727,banana,green
1728,cherry,purple
1729,apple,green
1730,apple,yellow
1731,cherry,purple
1732,banana,yellow
1733,banana,green
1734,banana,green
1735,apple,red
1736,banana,green
1737,cherry,purple
1738,cherry,purple
1739,banana,green
1740,apple,yellow
1741,cherry,red
1742,cherry,purple
1743,banana,yellow
1744,banana,green
1745,cherry,purple
1746,cherry,purple
1747,apple,red
1748,banana,yellow
1749,apple,yellow
1750,apple,yellow
1751,banana,green
1752,cherry,purple
1753,banana,yellow
1754,cherry,red
1755,apple,green
1756,apple,green
1757,banana,yellow
1758,cherry,purple
1759,banana,yellow
1760,apple,yellow
1761,cherry,purple
1762,cherry,purple
1763,apple,yellow
1764,apple,red
1765,banana,yellow
1766,banana,yellow
1767,banana,green
1768,banana,green
1769,apple,red
1770,apple,red
1771,apple,yellow
1772,cherry,purple
1773,apple,yellow
1774,apple,red
1775,banana,yellow
1776,apple,red
1777,apple,green
1778,apple,red
1779,banana,yellow
1780,banana,yellow
1781,apple,green
1782,banana,green
1783,banana,green
1784,apple,red
1785,banana,green
1786,cherry,purple
1787,cherry,red
1788,apple,red
1789,banana,yellow
1790,apple,green
1791,apple,red
1792,apple,yellow
1793,apple,red
1794,cherry,purple
1795,cherry,purple
1796,banana,green
1797,banana,yellow
1798,apple,green
1799,apple,red
1800,apple,green
1801,apple,red
1802,banana,yellow
1803,apple,red
1804,banana,yellow
1805,apple,yellow
1806,banana,yellow
1807,apple,yellow
1808,apple,yellow
1809,banana,yellow
1810,banana,yellow
1811,apple,red
1812,banana,green
1813,apple,green
1814,banana,yellow
1815,apple,yellow
1816,banana,green
1817,banana,yellow
1818,banana,green
1819,banana,yellow
1820,banana,yellow
1821,banana,yellow
1822,apple,red
1823,banana,yellow
1824,cherry,red
1825,apple,green
1826,apple,red
1827,banana,yellow
1828,banana,green
1829,apple,red
1830,apple,red
1831,cherry,purple
1832,apple,red
1833,cherry,red
1834,banana,yellow
1835,cherry,red
1836,banana,green
1837,apple,red
1838,apple,red
1839,cherry,purple
1840,apple,yellow
1841,apple,yellow
1842,apple,red
1843,apple,red
1844,banana,yellow
1845,apple,green
1846,cherry,purple
1847,cherry,red
1848,apple,green
1849,apple,green
1850,banana,green
1851,apple,green
1852,banana,green
1853,cherry,red
1854,apple,yellow
1855,banana,yellow
1856,apple,yellow
1857,banana,green
1858,apple,green
1859,cherry,red
1860,cherry,red
1861,banana,green
1862,apple,green
1863,banana,yellow
1864,apple,green
1865,apple,yellow
1866,banana,yellow
1867,cherry,purple
1868,banana,yellow
1869,banana,yellow
1870,banana,green
1871,apple,yellow
1872,cherry,red
1873,apple,red
1874,banana,green
1875,cherry,red
1876,apple,green
1877,apple,green
1878,cherry,red
1879,banana,green
1880,banana,yellow
1881,apple,green
1882,cherry,purple
1883,apple,green
1884,banana,yellow
1885,cherry,red
1886,apple,green
1887,apple,yellow
1888,apple,red
1889,cherry,purple
1890,cherry,red
1891,banana,green
1892,cherry,purple
1893,cherry,red
1894,cherry,purple
1895,banana,green
1896,banana,green
1897,banana,yellow
1898,apple,yellow
1899,apple,green
1900,apple,yellow
1901,cherry,purple
1902,banana,green
1903,banana,yellow
1904,cherry,purple
1905,apple,yellow
1906,banana,green
1907,apple,yellow
1908,apple,red
1909,cherry,purple
1910,apple,red
1911,banana,yellow
1912,cherry,red
1913,cherry,red
1914,cherry,purple
1915,banana,yellow
1916,cherry,red
1917,banana,yellow
1918,banana,green
1919,cherry,purple
1920,cherry,red
1921,banana,yellow
1922,banana,yellow
1923,apple,yellow
1924,banana,green
1925,banana,green
1926,banana,yellow
1927,apple,green
1928,cherry,purple
1929,cherry,red
1930,banana,green
1931,cherry,purple
1932,banana,yellow
1933,apple,yellow
1934,banana,green
1935,cherry,red
1936,cherry,red
1937,banana,green
1938,banana,green
1939,banana,green
1940,banana,green
1941,cherry,purple
1942,cherry,red
1943,apple,red
1944,apple,red
1945,apple,red
1946,cherry,purple
1947,apple,red
1948,banana,green
1949,apple,yellow
1950,apple,green
1951,apple,yellow
1952,banana,yellow
1953,banana,green
1954,apple,yellow
1955,apple,yellow
1956,apple,green
1957,apple,yellow
1958,apple,yellow
1959,apple,yellow
1960,apple,yellow
1961,cherry,purple
1962,cherry,purple
1963,cherry,red
1964,cherry,red
1965,apple,red
1966,cherry,red
1967,apple,red
1968,banana,yellow
1969,apple,green
1970,apple,green
1971,apple,yellow
1972,cherry,red
1973,apple,yellow
1974,cherry,red
1975,apple,green
1976,banana,green
1977,banana,green
1978,apple,yellow
1979,apple,red
1980,cherry,red
1981,cherry,red
1982,banana,green
1983,apple,red
1984,cherry,purple
1985,apple,green
1986,apple,yellow
1987,banana,yellow
1988,apple,green
1989,banana,yellow
1990,cherry,purple
1991,apple,red
1992,apple,yellow
1993,banana,yellow
1994,cherry,purple
1995,banana,green
1996,banana,green
1997,cherry,red
1998,apple,red
1999,cherry,red
2000,cherry,red
2001,banana,yellow
2002,banana,yellow
2003,cherry,purple
2004,cherry,red
2005,banana,green
2006,banana,yellow
2007,banana,yellow
2008,apple,yellow
2009,apple,red
2010,apple,red
2011,cherry,red
2012,banana,yellow
2013,cherry,purple
2014,apple,yellow
2015,banana,green
2016,apple,yellow
2017,apple,red
2018,banana,yellow
2019,cherry,red
2020,banana,yellow
2021,apple,yellow
2022,apple,yellow
2023,apple,red
2024,apple,green
2025,apple,yellow
2026,apple,red
2027,banana,yellow
2028,banana,green
2029,cherry,red
2030,apple,yellow
2031,banana,yellow
2032,banana,yellow
2033,apple,red
2034,banana,green
2035,banana,yellow
2036,apple,yellow
2037,banana,green
2038,apple,yellow
2039,cherry,red
2040,apple,red
2041,banana,green
2042,apple,red
2043,banana,yellow
2044,cherry,purple
2045,banana,yellow
2046,apple,red
2047,apple,red
2048,banana,green
2049,cherry,purple
2050,apple,yellow
2051,apple,green
2052,banana,yellow
2053,apple,green
2054,apple,yellow
2055,apple,yellow
2056,apple,yellow
2057,apple,green
2058,cherry,red
2059,apple,red
2060,cherry,purple
2061,apple,green
2062,apple,yellow
2063,apple,green
2064,banana,green
2065,cherry,purple
2066,banana,yellow
2067,banana,yellow
2068,cherry,red
2069,cherry,red
2070,apple,yellow
2071,apple,red
2072,cherry,red
2073,cherry,purple
2074,cherry,red
2075,cherry,purple
2076,banana,green
2077,banana,yellow
2078,apple,red
2079,cherry,purple
2080,apple,yellow
2081,banana,green
2082,apple,red
2083,banana,yellow
2084,cherry,red
2085,banana,yellow
2086,banana,yellow
2087,banana,green
2088,cherry,red
2089,apple,green
2090,apple,green
2091,apple,red
2092,banana,green
2093,apple,green
2094,cherry,red
2095,cherry,purple
2096,apple,yellow
2097,banana,green
2098,cherry,purple
2099,banana,yellow
2100,apple,green
2101,apple,yellow
2102,cherry,red
2103,banana,green
2104,cherry,red
2105,banana,green
2106,cherry,purple
2107,banana,green
2108,cherry,red
2109,banana,yellow
2110,banana,yellow
2111,apple,yellow
2112,apple,red
2113,apple,green
2114,banana,yellow
2115,banana,green
2116,cherry,red
2117,banana,green
2118,banana,yellow
2119,banana,green
2120,apple,red
2121,apple,yellow
2122,apple,yellow
2123,banana,yellow
2124,apple,green
2125,cherry,purple
2126,banana,yellow
2127,cherry,purple
2128,cherry,red
2129,banana,green
2130,cherry,red
2131,apple,green
2132,banana,yellow
2133,banana,green
2134,apple,yellow
2135,apple,green
2136,banana,yellow
2137,apple,green
2138,apple,red
2139,apple,yellow
2140,banana,yellow
2141,banana,yellow
2142,banana,yellow
2143,cherry,red
2144,apple,yellow
2145,apple,yellow
2146,banana,yellow
2147,cherry,purple
2148,banana,green
2149,cherry,purple
2150,apple,green
2151,cherry,purple
2152,apple,yellow
2153,cherry,red
2154,banana,green
2155,banana,yellow
2156,cherry,red
2157,apple,yellow
2158,banana,yellow
2159,apple,yellow
2160,cherry,red
2161,banana,green
2162,banana,green
2163,banana,yellow
2164,apple,yellow
2165,banana,green
2166,cherry,purple
2167,banana,green
2168,cherry,purple
2169,cherry,purple
2170,banana,green
2171,apple,yellow
2172,banana,green
2173,cherry,purple
2174,cherry,purple
2175,banana,yellow
2176,banana,green
2177,cherry,red
2178,apple,yellow
2179,banana,green
2180,cherry,red
2181,apple,yellow
2182,apple,red
2183,cherry,purple
2184,cherry,purple
2185,apple,green
2186,apple,red
2187,banana,green
2188,cherry,purple
2189,banana,green
2190,banana,yellow
2191,cherry,red
2192,banana,green
2193,apple,yellow
2194,cherry,purple
2195,apple,yellow
2196,banana,yellow
2197,banana,yellow
2198,apple,yellow
2199,apple,red
2200,apple,green
2201,cherry,purple
2202,banana,green
2203,banana,yellow
2204,banana,yellow
2205,cherry,purple
2206,banana,green
2207,apple,green
2208,apple,red
2209,banana,green
2210,banana,green
2211,apple,yellow
2212,apple,red
2213,banana,green
2214,cherry,purple
2215,cherry,purple
2216,banana,green
2217,banana,yellow
2218,cherry,purple
2219,banana,yellow
2220,banana,green
2221,apple,yellow
2222,cherry,red
2223,banana,yellow
2224,cherry,purple
2225,cherry,red
2226,banana,green
2227,apple,red
2228,apple,yellow
2229,cherry,red
2230,banana,yellow
2231,banana,green
2232,apple,yellow
2233,apple,yellow
2234,banana,yellow
2235,banana,yellow
2236,apple,red
2237,cherry,red
2238,apple,red
2239,cherry,purple
2240,apple,red
2241,apple,red
2242,banana,green
2243,banana,yellow
2244,cherry,purple
2245,banana,green
2246,cherry,purple
2247,banana,green
2248,apple,yellow
2249,apple,yellow
2250,cherry,purple
2251,cherry,red
2252,banana,green
2253,cherry,red
2254,banana,yellow
2255,banana,green
2256,apple,red
2257,apple,red
2258,apple,red
2259,apple,yellow
2260,cherry,red
2261,banana,yellow
2262,apple,yellow
2263,apple,red
2264,banana,yellow
2265,banana,green
2266,apple,green
2267,apple,red
2268,banana,yellow
2269,cherry,purple
2270,cherry,purple
2271,cherry,red
2272,apple,yellow
2273,apple,red
2274,apple,green
2275,apple,yellow
2276,banana,green
2277,cherry,purple
2278,apple,yellow
2279,apple,red
2280,banana,yellow
2281,apple,green
2282,banana,yellow
2283,banana,green
2284,apple,green
2285,banana,green
2286,apple,green
2287,apple,yellow
2288,cherry,red
2289,banana,yellow
2290,cherry,purple
2291,apple,yellow
2292,banana,green
2293,cherry,purple
2294,banana,green
2295,banana,yellow
2296,cherry,purple
2297,banana,green
2298,cherry,red
2299,apple,green
2300,apple,green
2301,banana,green
2302,banana,green
2303,apple,green
2304,cherry,purple
2305,banana,green
2306,banana,yellow
2307,cherry,red
2308,banana,green
2309,cherry,red
2310,apple,green
2311,apple,red
2312,cherry,purple
2313,banana,yellow
2314,cherry,red
2315,apple,yellow
2316,apple,yellow
2317,cherry,purple
2318,apple,red
2319,banana,green
2320,banana,yellow
2321,banana,yellow
2322,apple,yellow
2323,apple,green
2324,cherry,purple
2325,cherry,purple
2326,banana,yellow
2327,cherry,red
2328,banana,green
2329,banana,green
2330,banana,green
2331,cherry,purple
2332,banana,yellow
2333,banana,green
2334,banana,yellow
2335,apple,red
2336,banana,yellow
2337,apple,green
2338,banana,green
2339,cherry,purple
2340,apple,green
2341,cherry,red
2342,cherry,purple
2343,apple,yellow
2344,banana,yellow
2345,apple,yellow
2346,banana,green
2347,apple,red
2348,banana,yellow
2349,banana,green
2350,apple,yellow
2351,banana,green
2352,banana,yellow
2353,apple,green
2354,apple,green
2355,banana,green
2356,banana,green
2357,apple,red
2358,apple,yellow
2359,apple,red
2360,apple,red
2361,banana,yellow
2362,apple,red
2363,apple,red
2364,apple,green
2365,cherry,purple
2366,cherry,purple
2367,banana,yellow
2368,apple,red
2369,apple,green
2370,apple,green
2371,apple,green
2372,cherry,red
2373,apple,yellow
2374,apple,green
2375,apple,red
2376,apple,yellow
2377,cherry,red
2378,banana,green
2379,cherry,red
2380,banana,yellow
2381,banana,yellow
2382,apple,yellow
2383,apple,green
2384,cherry,red
2385,cherry,red
2386,banana,green
2387,apple,green
2388,banana,green
2389,cherry,red
2390,cherry,purple
2391,banana,yellow
2392,apple,red
2393,apple,green
2394,apple,yellow
2395,apple,yellow
2396,apple,green
2397,banana,yellow
2398,apple,red
2399,apple,yellow
2400,cherry,purple
2401,cherry,purple
2402,banana,yellow
2403,banana,green
2404,banana,green
2405,cherry,purple
2406,banana,green
2407,banana,green
2408,apple,red
2409,banana,green
2410,banana,green
2411,cherry,red
2412,apple,red
2413,banana,green
2414,banana,green
2415,apple,yellow
2416,banana,yellow
2417,cherry,purple
2418,cherry,red
2419,apple,red
2420,banana,green
2421,apple,yellow
2422,banana,yellow
2423,banana,green
2424,banana,green
2425,apple,yellow
2426,banana,yellow
2427,cherry,red
2428,apple,red
2429,apple,green
2430,apple,red
2431,banana,green
2432,banana,green
2433,apple,red
2434,banana,yellow
2435,apple,red
2436,banana,yellow
2437,banana,yellow
2438,apple,yellow
2439,cherry,purple
2440,cherry,red
2441,cherry,purple
2442,banana,yellow
2443,cherry,red
2444,cherry,red
2445,apple,red
2446,banana,yellow
2447,apple,yellow
2448,apple,yellow
2449,cherry,purple
2450,banana,green
2451,banana,green
2452,cherry,red
2453,cherry,purple
2454,banana,yellow
2455,banana,green
2456,cherry,purple
2457,banana,green
2458,cherry,purple
2459,cherry,purple
2460,cherry,purple
2461,banana,yellow
2462,apple,yellow
2463,cherry,purple
2464,apple,green
2465,banana,green
2466,apple,red
2467,cherry,red
2468,banana,green
2469,apple,red
2470,apple,green
2471,apple,yellow
2472,cherry,red
2473,apple,green
2474,apple,red
2475,apple,yellow
2476,apple,green
2477,cherry,red
2478,banana,yellow
2479,banana,green
2480,cherry,red
2481,banana,yellow
2482,banana,green
2483,apple,yellow
2484,apple,red
2485,cherry,purple
2486,apple,green
2487,banana,yellow
2488,cherry,red
2489,banana,yellow
2490,banana,green
2491,apple,yellow
2492,apple,yellow
2493,banana,green
2494,banana,yellow
2495,apple,yellow
2496,banana,green
2497,cherry,red
2498,apple,green
2499,cherry,red
2500,apple,red
2501,banana,yellow
2502,banana,green
2503,apple,yellow
2504,banana,yellow
2505,cherry,purple
2506,banana,green
2507,apple,yellow
2508,apple,yellow
2509,cherry,red
2510,apple,green
2511,cherry,purple
2512,banana,yellow
2513,apple,green
2514,banana,green
2515,apple,green
2516,banana,yellow
2517,cherry,red
2518,cherry,purple
2519,banana,green
2520,apple,red
2521,apple,green
2522,apple,yellow
2523,cherry,red
2524,banana,yellow
2525,cherry,red
2526,cherry,purple
2527,apple,yellow
2528,cherry,purple
2529,banana,yellow
2530,apple,yellow
2531,banana,yellow
2532,banana,green
2533,banana,yellow
2534,banana,yellow
2535,apple,yellow
2536,banana,green
2537,apple,green
2538,apple,yellow
2539,banana,yellow
2540,banana,yellow
2541,apple,yellow
2542,apple,yellow
2543,apple,red
2544,apple,yellow
2545,apple,green
2546,banana,yellow
2547,cherry,purple
2548,cherry,red
2549,apple,yellow
2550,cherry,red
2551,apple,yellow
2552,apple,green
2553,apple,red
2554,apple,yellow
2555,apple,yellow
2556,apple,yellow
2557,apple,red
2558,banana,green
2559,cherry,red
2560,cherry,purple
2561,apple,green
2562,cherry,red
2563,apple,green
2564,banana,yellow
2565,banana,yellow
2566,banana,green
2567,cherry,purple
2568,banana,yellow
2569,apple,red
2570,banana,yellow
2571,cherry,purple
2572,banana,yellow
2573,banana,yellow
2574,banana,yellow
2575,apple,yellow
2576,banana,yellow
2577,apple,red
2578,banana,green
2579,cherry,purple
2580,cherry,purple
2581,banana,green
2582,apple,red
2583,apple,red
2584,apple,yellow
2585,banana,yellow
2586,banana,yellow
2587,banana,green
2588,apple,green
2589,apple,yellow
2590,banana,green
2591,apple,green
2592,banana,yellow
2593,apple,red
2594,apple,red
2595,cherry,purple
2596,apple,yellow
2597,cherry,red
2598,apple,green
2599,cherry,purple
2600,banana,green
2601,cherry,purple
2602,banana,yellow
2603,banana,green
2604,banana,green
2605,banana,yellow
2606,banana,green
2607,banana,yellow
2608,cherry,red
2609,banana,green
2610,cherry,red
2611,banana,yellow
2612,apple,green
2613,apple,green
2614,cherry,purple
2615,banana,green
2616,apple,red
2617,banana,yellow
2618,banana,green
2619,apple,yellow
2620,apple,yellow
2621,cherry,red
2622,apple,green
2623,banana,yellow
2624,banana,yellow
2625,cherry,red
2626,apple,yellow
2627,banana,yellow
2628,banana,yellow
2629,apple,yellow
2630,banana,green
2631,apple,yellow
2632,apple,yellow
2633,banana,yellow
2634,apple,green
2635,apple,red
2636,cherry,red
2637,apple,red
2638,apple,yellow
2639,apple,green
2640,apple,green
2641,apple,red
2642,apple,red
2643,cherry,red
2644,banana,green
2645,apple,green
2646,cherry,red
2647,banana,green
2648,apple,yellow
2649,banana,green
2650,banana,yellow
2651,banana,yellow
2652,apple,yellow
2653,apple,yellow
2654,banana,yellow
2655,apple,red
2656,apple,green
2657,apple,red
2658,banana,green
2659,apple,red
2660,apple,green
2661,cherry,red
2662,banana,yellow
2663,cherry,purple
2664,cherry,red
2665,cherry,purple
2666,apple,green
2667,cherry,purple
2668,cherry,red
2669,apple,red
2670,apple,green
2671,apple,green
2672,banana,yellow
2673,banana,yellow
2674,banana,yellow
2675,banana,green
2676,banana,green
2677,apple,yellow
2678,cherry,purple
2679,cherry,purple
2680,banana,green
2681,banana,yellow
2682,cherry,red
2683,banana,yellow
2684,apple,red
2685,banana,yellow
2686,banana,yellow
2687,cherry,purple
2688,banana,green
2689,apple,yellow
2690,apple,yellow
2691,apple,green
2692,apple,red
2693,apple,yellow
2694,banana,yellow
2695,apple,green
2696,apple,yellow
2697,banana,yellow
2698,cherry,red
2699,apple,green
2700,cherry,purple
2701,cherry,red
2702,banana,green
2703,apple,green
2704,cherry,purple
2705,banana,green
2706,cherry,red
2707,cherry,purple
2708,banana,green
2709,banana,yellow
2710,apple,yellow
2711,apple,green
2712,apple,red
2713,apple,red
2714,apple,green
2715,banana,yellow
2716,banana,green
2717,apple,red
2718,cherry,purple
2719,banana,green
2720,banana,green
2721,banana,green
2722,cherry,purple
2723,banana,green
2724,apple,green
2725,apple,green
2726,cherry,red
2727,cherry,purple
2728,banana,green
2729,cherry,red
2730,apple,green
2731,banana,green
2732,cherry,red
2733,cherry,red
2734,cherry,red
2735,apple,red
2736,banana,yellow
2737,apple,red
2738,banana,yellow
2739,apple,red
2740,apple,yellow
2741,banana,yellow
2742,banana,green
2743,banana,yellow
2744,apple,red
2745,apple,yellow
2746,apple,green
2747,banana,green
2748,apple,green
2749,apple,yellow
2750,banana,yellow
2751,apple,green
2752,banana,green
2753,apple,yellow
2754,cherry,red
2755,apple,green
2756,banana,green
2757,banana,yellow
2758,apple,green
2759,cherry,red
2760,apple,red
2761,apple,green
2762,apple,yellow
2763,cherry,purple
2764,banana,green
2765,apple,red
2766,banana,yellow
2767,cherry,purple
2768,banana,yellow
2769,cherry,purple
2770,apple,green
2771,banana,green
2772,banana,yellow
2773,apple,yellow
2774,apple,green
2775,apple,yellow
2776,cherry,purple
2777,cherry,purple
2778,banana,yellow
2779,apple,red
2780,apple,green
2781,cherry,purple
2782,cherry,red
2783,banana,green
2784,cherry,red
2785,apple,yellow
2786,apple,green
2787,banana,green
2788,banana,yellow
2789,banana,yellow
2790,cherry,purple
2791,apple,red
2792,cherry,purple
2793,cherry,purple
2794,banana,green
2795,banana,yellow
2796,apple,yellow
2797,apple,yellow
2798,banana,green
2799,apple,yellow
2800,banana,yellow
2801,cherry,red
2802,apple,green
2803,apple,red
2804,banana,green
2805,apple,yellow
2806,banana,yellow
2807,apple,red
2808,cherry,red
2809,cherry,red
2810,banana,green
2811,apple,yellow
2812,banana,yellow
2813,banana,green
2814,apple,yellow
2815,apple,green
2816,banana,green
2817,cherry,red
2818,banana,green
2819,cherry,purple
2820,apple,yellow
2821,cherry,red
2822,banana,green
2823,apple,green
2824,cherry,red
2825,banana,green
2826,banana,green
2827,banana,green
2828,banana,yellow
2829,banana,yellow
2830,banana,green
2831,cherry,red
2832,apple,yellow
2833,apple,red
2834,apple,red
2835,apple,green
2836,banana,yellow
2837,apple,yellow
2838,cherry,purple
2839,cherry,purple
2840,banana,green
2841,banana,green
2842,apple,red
2843,apple,yellow
2844,apple,green
2845,cherry,red
2846,banana,green
2847,banana,green
2848,apple,red
2849,banana,green
2850,apple,green
2851,cherry,red
2852,apple,yellow
2853,banana,green
2854,banana,yellow
2855,banana,yellow
2856,apple,yellow
2857,banana,yellow
2858,banana,green
2859,banana,green
2860,banana,yellow
2861,banana,green
2862,banana,green
2863,banana,green
2864,apple,red
2865,banana,green
2866,banana,green
2867,apple,green
2868,banana,yellow
2869,banana,green
2870,cherry,red
2871,apple,red
2872,apple,red
2873,cherry,purple
2874,apple,yellow
2875,apple,green
2876,apple,red
2877,banana,yellow
2878,banana,green
2879,cherry,purple
2880,cherry,red
2881,banana,yellow
2882,apple,red
2883,cherry,red
2884,cherry,purple
2885,cherry,red
2886,banana,yellow
2887,apple,yellow
2888,cherry,red
2889,banana,yellow
2890,apple,green
2891,apple,green
2892,banana,yellow
2893,apple,yellow
2894,apple,green
2895,apple,green
2896,apple,green
2897,apple,green
2898,cherry,red
2899,apple,yellow
2900,banana,green
2901,banana,green
2902,apple,green
2903,cherry,purple
2904,banana,green
2905,banana,yellow
2906,banana,yellow
2907,banana,yellow
2908,apple,red
2909,banana,yellow
2910,apple,red
2911,banana,green
2912,apple,yellow
2913,apple,red
2914,apple,yellow
2915,apple,yellow
2916,banana,yellow
2917,cherry,red
2918,banana,yellow
2919,apple,yellow
2920,apple,yellow
2921,cherry,red
2922,cherry,red
2923,apple,green
2924,banana,yellow
2925,banana,green
2926,cherry,purple
2927,apple,red
2928,apple,red
2929,apple,green
2930,cherry,purple
2931,cherry,purple
2932,apple,red
2933,banana,yellow
2934,banana,yellow
2935,banana,yellow
2936,apple,green
2937,apple,yellow
2938,apple,green
2939,banana,yellow
2940,apple,red
2941,banana,green
2942,cherry,red
2943,cherry,red
2944,banana,yellow
2945,cherry,purple
2946,apple,yellow
2947,apple,green
2948,banana,green
2949,banana,green
2950,cherry,red
2951,banana,yellow
2952,apple,yellow
2953,cherry,purple
2954,apple,yellow
2955,cherry,purple
2956,apple,green
2957,banana,yellow
2958,apple,green
2959,apple,green
2960,cherry,purple
2961,banana,yellow
2962,banana,green
2963,banana,green
2964,banana,yellow
2965,banana,green
2966,banana,green
2967,banana,yellow
2968,apple,red
2969,banana,yellow
2970,banana,yellow
2971,cherry,purple
2972,banana,green
2973,cherry,red
2974,apple,red
2975,apple,yellow
2976,apple,red
2977,apple,yellow
2978,banana,green
2979,cherry,red
2980,banana,yellow
2981,cherry,red
2982,banana,green
2983,banana,green
2984,cherry,red
2985,apple,yellow
2986,apple,red
2987,banana,green
2988,cherry,red
2989,banana,yellow
2990,cherry,red
2991,cherry,red
2992,apple,yellow
2993,cherry,red
2994,apple,red
2995,banana,green
2996,apple,yellow
2997,banana,yellow
2998,apple,red
2999,cherry,red
3000,apple,red
3001,apple,green
3002,apple,green
3003,banana,green
3004,apple,yellow
3005,apple,red
3006,cherry,purple
3007,cherry,red
3008,cherry,red
3009,apple,red
3010,cherry,purple
3011,banana,green
3012,banana,yellow
3013,apple,green
3014,banana,green
3015,apple,red
3016,banana,yellow
3017,banana,green
3018,banana,yellow
3019,banana,green
3020,apple,red
3021,banana,yellow
3022,apple,yellow
3023,cherry,purple
3024,cherry,red
3025,banana,yellow
3026,apple,red
3027,apple,red
3028,banana,green
3029,banana,yellow
3030,banana,yellow
3031,apple,green
3032,apple,green
3033,apple,yellow
3034,cherry,purple
3035,apple,yellow
3036,apple,yellow
3037,apple,red
3038,banana,yellow
3039,apple,red
3040,banana,green
3041,banana,green
3042,apple,red
3043,apple,red
3044,apple,green
3045,cherry,purple
3046,cherry,red
3047,banana,green
3048,apple,green
3049,apple,yellow
3050,banana,green
3051,apple,green
3052,banana,green
3053,cherry,red
3054,apple,red
3055,banana,yellow
3056,apple,red
3057,cherry,purple
3058,banana,green
3059,apple,green
3060,banana,yellow
3061,banana,yellow
3062,apple,yellow
3063,banana,yellow
3064,banana,green
3065,apple,yellow
3066,banana,yellow
3067,apple,green
3068,banana,yellow
3069,cherry,red
3070,banana,yellow
3071,apple,green
3072,banana,yellow
3073,banana,green
3074,banana,yellow
3075,banana,yellow
3076,apple,red
3077,banana,green
3078,cherry,red
3079,apple,red
3080,banana,yellow
3081,apple,yellow
3082,apple,yellow
3083,banana,yellow
3084,cherry,purple
3085,cherry,purple
3086,apple,green
3087,banana,yellow
3088,cherry,red
3089,apple,yellow
3090,apple,red
3091,apple,green
3092,banana,yellow
3093,cherry,red
3094,banana,green
3095,banana,yellow
3096,banana,green
3097,cherry,red
3098,apple,green
3099,banana,green
3100,apple,yellow
3101,banana,yellow
3102,banana,yellow
3103,apple,green
3104,apple,red
3105,banana,yellow
3106,cherry,red
3107,apple,green
3108,banana,green
3109,apple,red
3110,apple,green
3111,banana,yellow
3112,banana,green
3113,banana,green
3114,cherry,red
3115,apple,green
3116,apple,green
3117,cherry,purple
3118,cherry,red
3119,apple,green
3120,apple,red
3121,banana,yellow
3122,banana,yellow
3123,apple,yellow
3124,banana,yellow
3125,banana,green
3126,banana,yellow
3127,apple,red
3128,apple,red
3129,cherry,purple
3130,banana,green
3131,banana,green
3132,banana,green
3133,banana,yellow
3134,cherry,purple
3135,apple,green
3136,apple,green
3137,cherry,red
3138,apple,green
3139,banana,yellow
3140,banana,yellow
3141,banana,green
3142,apple,red
3143,cherry,red
3144,apple,red
3145,apple,green
3146,banana,green
3147,apple,red
3148,apple,yellow
3149,apple,green
3150,cherry,red
3151,apple,yellow
3152,cherry,purple
3153,apple,red
3154,banana,green
3155,cherry,purple
3156,cherry,red
3157,apple,yellow
3158,banana,green
3159,banana,green
3160,banana,green
3161,cherry,red
3162,cherry,purple
3163,apple,red
3164,banana,yellow
3165,apple,yellow
3166,apple,red
3167,banana,yellow
3168,banana,yellow
3169,apple,yellow
3170,banana,yellow
3171,cherry,purple
3172,apple,red
3173,banana,green
3174,banana,yellow
3175,cherry,purple
3176,apple,green
3177,banana,yellow
3178,cherry,purple
3179,apple,yellow
3180,cherry,purple
3181,apple,red
3182,apple,green
3183,apple,green
3184,cherry,red
3185,apple,green
3186,banana,green
3187,cherry,purple
3188,apple,yellow
3189,cherry,purple
3190,banana,green
3191,apple,yellow
3192,banana,yellow
3193,apple,green
3194,cherry,purple
3195,apple,yellow
3196,cherry,red
3197,apple,yellow
3198,cherry,purple
3199,apple,green
3200,banana,yellow
3201,apple,green
3202,apple,green
3203,apple,green
3204,cherry,purple
3205,banana,green
3206,apple,red
3207,apple,green
3208,cherry,purple
3209,apple,yellow
3210,cherry,purple
3211,apple,yellow
3212,banana,yellow
3213,apple,green
3214,banana,yellow
3215,banana,green
3216,banana,green
3217,cherry,purple
3218,cherry,red
3219,apple,yellow
3220,banana,green
3221,apple,red
